datetime,avgMintTXGas_1d,sumMintGas_1d,mintTXCounts_1d,sumMinted_sETH2_1d,avgSellTXGas_1d,sumSellGas_1d,sellTXCounts_1d,sumSold_sETH2_1d,avgGasPricePaidOnSell_1d,mintsAvoidable_Full_Volume,mintsPotentiallyCrossableCoverage_Percentage,costOfImplementingMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_100GWEI_GasPx,gasSavingOnMaxTheoriticalCross_PnL_in_ETH_AvgSellGasPx
2021-08-09,111056.27777777778,1999013,18,4.004296228440646,238047.6,2380476.0,10.0,35.477009145749875,45985959362.5,True,1.0,1160000.0,1220476.0,0.05612475973890655,0.05612475973890655
2021-08-10,101216.66666666667,2429200,24,9.70728785296144,232635.35714285713,3256895.0,14.0,25.64852160239928,42264846291.28571,True,1.0,1624000.0,1632895.0,0.06901405618480899,0.06901405618480899
2021-08-11,109376.36842105263,2078151,19,9.705345841858545,249446.0,2743906.0,11.0,121.34482933611206,54601052689.63636,True,1.0,1276000.0,1467906.0,0.08014921284943335,0.08014921284943335
2021-08-12,100746.3,2014926,20,3.9928561415602175,165820.22222222222,1492382.0,9.0,10.800559375323651,50139886033.888885,True,1.0,1044000.0,448382.0,0.022481822379647166,0.022481822379647166
2021-08-13,96829.11764705883,1646095,17,5.167798599116349,231702.5,2317025.0,10.0,8.42913256733814,51777255287.1,True,1.0,1160000.0,1157025.0,0.059907578798556876,0.059907578798556876
2021-08-14,104410.72727272728,1148518,11,1.8005799513298846,218660.08333333334,2623921.0,12.0,12.291869955342989,50893336368.5,True,1.0,1392000.0,1231921.0,0.06269656983241889,0.06269656983241889
2021-08-15,112640.23076923077,1464323,13,2.5339429478313833,230332.55555555556,2072993.0,9.0,33.5285655559145,35670067816.666664,True,1.0,1044000.0,1028993.0,0.03670425009287528,0.03670425009287528
2021-08-16,108750.93333333333,1631264,15,3.5895076934215435,209936.0,1049680.0,5.0,8.153443291627504,44799210042.4,True,1.0,580000.0,469680.0,0.021041292972714433,0.021041292972714433
2021-08-17,104874.1,2097482,20,8.206726930004383,206341.7857142857,2888785.0,14.0,236.29960022156325,46741494339.14286,True,1.0,1624000.0,1264785.0,0.0591179409177328,0.0591179409177328
2021-08-18,101692.22727272728,2237229,22,5.185472188416781,252466.42857142858,1767265.0,7.0,15.373487515009002,33538074227.714287,True,1.0,812000.0,955265.0,0.03203774847713749,0.03203774847713749
2021-08-19,101563.2,1523448,15,2.641658550109168,249515.6,3742734.0,15.0,1838.651053092173,28310140508.866665,True,1.0,1740000.0,2002734.0,0.05669768094188457,0.05669768094188457
2021-08-20,102272.53846153847,1329543,13,3.6502196316812134,236682.125,1893457.0,8.0,5.424511335770581,35124607942.75,True,1.0,928000.0,965457.0,0.03391129861058359,0.03391129861058359
2021-08-21,93653.4,936534,10,4.197268797983124,162794.27272727274,1790737.0,11.0,7.5021186543626115,28743114963.636364,True,1.0,1276000.0,514737.0,0.014795144767037291,0.014795144767037291
2021-08-22,104044.35,2080887,20,3.6424520161266742,183524.625,1468197.0,8.0,23.268914066806055,30956853006.875,True,1.0,928000.0,540197.0,0.016722799123754857,0.016722799123754857
2021-08-23,108552.41666666667,1302629,12,5.720208969169637,230026.23076923078,2990341.0,13.0,34.252019415798244,57799205203.0,True,1.0,1508000.0,1482341.0,0.08567813163982022,0.08567813163982022
2021-08-24,109184.33333333333,1310212,12,6.278573336484176,227802.3,2278023.0,10.0,86.09023071974659,66139422809.7,True,1.0,1160000.0,1118023.0,0.07394539590796922,0.07394539590796922
